12772 0.0  AUX --> do
1 0.0  NNP --> scarry
1 0.0  NNP --> science
1 0.0  NNP --> scissors
1 0.0  NNP --> scoobydoo
1 0.0  NNP --> seaworld
1 0.0  NNP --> sergeant
1 0.0  NNP --> seuss
1 0.0  NNP --> seymore
1 0.0  NNP --> shaker
1 0.0  NNP --> shakila
1 0.0  NNP --> shamu
1 0.0  NNP --> shell
1 0.0  NNP --> shelley
1 0.0  NNP --> shelly
1 0.0  NNP --> shepherd
1 0.0  NNP --> sherrill
1 0.0  NNP --> sherry
1 0.0  NNP --> shiva
1 0.0  NNP --> shmiles
1 0.0  NNP --> shoulda
1 0.0  NNP --> show
1 0.0  NNP --> show_and_tell
1 0.0  NNP --> sigs
1 0.0  NNP --> silvia
1 0.0  NNP --> simeone
1 0.0  NNP --> slice
1 0.0  NNP --> slick
1 0.0  NNP --> smartie
1 0.0  NNP --> smartypants
1 0.0  NNP --> smiler
1 0.0  NNP --> smiles
1 0.0  NNP --> smokey
1 0.0  NNP --> smoky
1 0.0  NNP --> snake
1 0.0  NNP --> snatch
1 0.0  NNP --> sneaker
1 0.0  NNP --> socky
1 0.0  NNP --> somerville
1 0.0  NNP --> son
1 0.0  NNP --> sony
1 0.0  NNP --> soopie
1 0.0  NNP --> sox
1 0.0  NNP --> spaceballs
1 0.0  NNP --> sparks
1 0.0  NNP --> speak_and_spell
1 0.0  NNP --> special_k
1 0.0  NNP --> spike
1 0.0  NNP --> springs
1 0.0  NNP --> spuds
1 0.0  NNP --> squash
1 0.0  NNP --> squeezlen
1 0.0  NNP --> star^wars
1 0.0  NNP --> statue_of_liberty
1 0.0  NNP --> step_in_time
1 0.0  NNP --> stephen
1 0.0  NNP --> stevie
1 0.0  NNP --> stonzo
1 0.0  NNP --> stripey
1 0.0  NNP --> sugar_daddy
1 0.0  NNP --> super_ball
1 0.0  NNP --> susie
1 0.0  NNP --> swampscott
1 0.0  NNP --> sweet
1 0.0  NNP --> sweetieboo
1 0.0  NNP --> sweety
1 0.0  NNP --> switzerland
1 0.0  NNP --> taffy
1 0.0  NNP --> tag
1 0.0  NNP --> tala
1 0.0  NNP --> tan
1 0.0  NNP --> tapioca
1 0.0  NNP --> taurus
1 0.0  NNP --> taylor
1 0.0  NNP --> teach
1 0.0  NNP --> teacup
1 0.0  NNP --> technical
1 0.0  NNP --> temple
1 0.0  NNP --> temptee
1 0.0  NNP --> teppie
1 0.0  NNP --> teresa
1 0.0  NNP --> than
1 0.0  NNP --> the_little_engine_that_could
1 0.0  NNP --> theodore
1 0.0  NNP --> this
1 0.0  NNP --> thriller
1 0.0  NNP --> thumbelina
1 0.0  NNP --> tick
1 0.0  NNP --> tickles_baby
1 0.0  NNP --> tiffany
1 0.0  NNP --> tilt_a_whirl
1 0.0  NNP --> tinaka
1 0.0  NNP --> tiny_chatty_baby
1 0.0  NNP --> toby
1 0.0  NNP --> tommies
1 0.0  NNP --> tomorrow
1 0.0  NNP --> tonto
1 0.0  NNP --> toots
1 0.0  NNP --> tootsie
1 0.0  NNP --> topper
1 0.0  NNP --> toronto
1 0.0  NNP --> tot
1 0.0  NNP --> tower
1 0.0  NNP --> toy
1 0.0  NNP --> trimmer
1 0.0  NNP --> trowbridge
1 0.0  NNP --> tubbo
1 0.0  NNP --> tumbler
1 0.0  NNP --> tuv
1 0.0  NNP --> twenty
1 0.0  NNP --> twinkles
1 0.0  NNP --> twinkletwinkle
1 0.0  NNP --> tylenol
1 0.0  NNP --> tziporah
1 0.0  NNP --> ub
1 0.0  NNP --> uh
1 0.0  NNP --> uhoh
1 0.0  NNP --> uncle_ernest
1 0.0  NNP --> uncle_george
1 0.0  NNP --> uncle_georgie
1 0.0  NNP --> uncle_pat
1 0.0  NNP --> uncle_tony
1 0.0  NNP --> underdog
1 0.0  NNP --> unky
1 0.0  NNP --> utah
1 0.0  NNP --> vaseline
1 0.0  NNP --> venus
1 0.0  NNP --> vera
1 0.0  NNP --> vernon
1 0.0  NNP --> vi
1 0.0  NNP --> viki
1 0.0  NNP --> vim
1 0.0  NNP --> vinnie
1 0.0  NNP --> vixen
1 0.0  NNP --> vogue
1 0.0  NNP --> volkswagon
1 0.0  NNP --> vye
1 0.0  NNP --> wachusett
1 0.0  NNP --> waffelo
1 0.0  NNP --> wakefield
1 0.0  NNP --> waldo
1 0.0  NNP --> wally
1 0.0  NNP --> walnut
1 0.0  NNP --> walt
1 0.0  NNP --> walt_disney
1 0.0  NNP --> walter
1 0.0  NNP --> wan
1 0.0  NNP --> warm
1 0.0  NNP --> waterloo
1 0.0  NNP --> watertown
1 0.0  NNP --> weensie
1 0.0  NNP --> weinberger
1 0.0  NNP --> wence
1 0.0  NNP --> westinghouse
1 0.0  NNP --> wetsy
1 0.0  NNP --> wheaton
1 0.0  NNP --> where_the_wild_things_are
1 0.0  NNP --> whippy
1 0.0  NNP --> whisky
1 0.0  NNP --> whoa
1 0.0  NNP --> whosit
1 0.0  NNP --> wicked_witch
1 0.0  NNP --> wiggins
1 0.0  NNP --> wilbur
1 0.0  NNP --> wilfred
1 0.0  NNP --> willywp
1 0.0  NNP --> winne_the_pooh
1 0.0  NNP --> winnie^the^pooh
1 0.0  NNP --> wireless
1 0.0  NNP --> wonder_bread
1 0.0  NNP --> woo
1 0.0  NNP --> woolworth
1 0.0  NNP --> woosky
1 0.0  NNP --> worcester
1 0.0  NNP --> worlds_fair
1 0.0  NNP --> wubby
1 0.0  NNP --> yankee_doodle
1 0.0  NNP --> years
1 0.0  NNP --> yibby
1 0.0  NNP --> yolanda
1 0.0  NNP --> yorgenson
1 0.0  NNP --> you
1 0.0  NNP --> yours
1 0.0  NNP --> zelda
1 0.0  NNP --> zero
1 0.0  NNP --> zetor
1 0.0  NNP --> zipper
1 0.0  NNP --> zone
1 0.0  NNP --> zorex
29 0.0  NNPS --> cheerios
21 0.0  NNPS --> band_aids
15 0.0  NNPS --> indians
10 0.0  NNPS --> flintstones
10 0.0  NNPS --> loop_loops
8 0.0  NNPS --> beatles
6 0.0  NNPS --> abcs
4 0.0  NNPS --> bells
4 0.0  NNPS --> martians
4 0.0  NNPS --> sugar_pops
3 0.0  NNPS --> cummings
3 0.0  NNPS --> m_and_ms
3 0.0  NNPS --> mommies
3 0.0  NNPS --> poppins
3 0.0  NNPS --> popples
3 0.0  NNPS --> q_tips
3 0.0  NNPS --> skittles
3 0.0  NNPS --> snoopies
3 0.0  NNPS --> stooges
2 0.0  NNPS --> abc's
2 0.0  NNPS --> al-s
2 0.0  NNPS --> bandaids
2 0.0  NNPS --> bears
2 0.0  NNPS --> bobos
2 0.0  NNPS --> boy_scouts
2 0.0  NNPS --> burkes
2 0.0  NNPS --> dodies
2 0.0  NNPS --> puffs
2 0.0  NNPS --> states
1 0.0  NNPS --> a^b^c^dl's
1 0.0  NNPS --> arts
1 0.0  NNPS --> butters
1 0.0  NNPS --> carrots
1 0.0  NNPS --> cherries
1 0.0  NNPS --> chipmunks
1 0.0  NNPS --> chips
1 0.0  NNPS --> cl-s
1 0.0  NNPS --> cocoa_crispies
1 0.0  NNPS --> cocoa_pops
1 0.0  NNPS --> cub_scouts
1 0.0  NNPS --> darkids
1 0.0  NNPS --> dl-s
1 0.0  NNPS --> easter_bunnies
1 0.0  NNPS --> ellies
1 0.0  NNPS --> friends
1 0.0  NNPS --> fruit_loops
1 0.0  NNPS --> fudgsicles
1 0.0  NNPS --> hearts
1 0.0  NNPS --> hopperoos
1 0.0  NNPS --> il-s
1 0.0  NNPS --> kl-s
1 0.0  NNPS --> linguistics
1 0.0  NNPS --> lions
1 0.0  NNPS --> marines
1 0.0  NNPS --> mazdas
1 0.0  NNPS --> measles
1 0.0  NNPS --> ml-s
1 0.0  NNPS --> my_three_sons
1 0.0  NNPS --> o'sl
1 0.0  NNPS --> patches
1 0.0  NNPS --> pebbles
1 0.0  NNPS --> puppies
1 0.0  NNPS --> rl-s
1 0.0  NNPS --> saabs
1 0.0  NNPS --> santa_clauses
1 0.0  NNPS --> saturdays
1 0.0  NNPS --> savages
1 0.0  NNPS --> scotchies
1 0.0  NNPS --> sigs
1 0.0  NNPS --> sippydippers
1 0.0  NNPS --> soakies
1 0.0  NNPS --> sons
1 0.0  NNPS --> spoons
1 0.0  NNPS --> thursdays
1 0.0  NNPS --> toys
1 0.0  NNPS --> xl-s
827 0.0  NNS --> those
640 0.0  NNS --> these
583 0.0  NNS --> things
418 0.0  NNS --> toys
405 0.0  NNS --> animals
362 0.0  NNS --> people
323 0.0  NNS --> eyes
255 0.0  NNS --> shoes
252 0.0  NNS --> hands
239 0.0  NNS --> clothes
230 0.0  NNS --> ones
226 0.0  NNS --> feet
212 0.0  NNS --> lots
202 0.0  NNS --> pictures
196 0.0  NNS --> fingers
188 0.0  NNS --> children
183 0.0  NNS --> guys
162 0.0  NNS --> teeth
159 0.0  NNS --> blocks
158 0.0  NNS --> kids
158 0.0  NNS --> pants
155 0.0  NNS --> books
146 0.0  NNS --> cars
143 0.0  NNS --> pieces
140 0.0  NNS --> babies
139 0.0  NNS --> eggs
128 0.0  NNS --> ears
125 0.0  NNS --> letters
125 0.0  NNS --> minutes
121 0.0  NNS --> socks
119 0.0  NNS --> flowers
115 0.0  NNS --> cookies
110 0.0  NNS --> legs
109 0.0  NNS --> birds
101 0.0  NNS --> dogs
99 0.0  NNS --> boys
95 0.0  NNS --> pajamas
92 0.0  NNS --> arms
92 0.0  NNS --> girls
90 0.0  NNS --> colors
85 0.0  NNS --> horses
83 0.0  NNS --> potatoes
79 0.0  NNS --> crayons
77 0.0  NNS --> days
76 0.0  NNS --> glasses
75 0.0  NNS --> kinds
75 0.0  NNS --> toes
75 0.0  NNS --> wheels
74 0.0  NNS --> cups
74 0.0  NNS --> monkeys
72 0.0  NNS --> presents
72 0.0  NNS --> trees
70 0.0  NNS --> dolls
70 0.0  NNS --> peas
69 0.0  NNS --> some
65 0.0  NNS --> ducks
65 0.0  NNS --> friends
64 0.0  NNS --> scissors
64 0.0  NNS --> words
62 0.0  NNS --> stairs
61 0.0  NNS --> bears
61 0.0  NNS --> years
60 0.0  NNS --> pennies
58 0.0  NNS --> fishies
54 0.0  NNS --> beans
54 0.0  NNS --> buttons
54 0.0  NNS --> slippers
54 0.0  NNS --> trucks
51 0.0  NNS --> boots
49 0.0  NNS --> cards
49 0.0  NNS --> dollars
49 0.0  NNS --> times
49 0.0  NNS --> weeks
48 0.0  NNS --> dishes
47 0.0  NNS --> batteries
47 0.0  NNS --> holes
46 0.0  NNS --> dollies
45 0.0  NNS --> men
44 0.0  NNS --> curls
43 0.0  NNS --> carrots
43 0.0  NNS --> chickens
43 0.0  NNS --> crackers
43 0.0  NNS --> spaghetti
42 0.0  NNS --> bubbles
42 0.0  NNS --> candles
40 0.0  NNS --> fish
40 0.0  NNS --> games
40 0.0  NNS --> kitties
40 0.0  NNS --> numbers
38 0.0  NNS --> balloons
38 0.0  NNS --> bangs
38 0.0  NNS --> yours
37 0.0  NNS --> apples
37 0.0  NNS --> cents
37 0.0  NNS --> names
36 0.0  NNS --> elephants
36 0.0  NNS --> houses
35 0.0  NNS --> bugs
35 0.0  NNS --> lines
35 0.0  NNS --> songs
35 0.0  NNS --> windows
34 0.0  NNS --> cows
32 0.0  NNS --> puppets
32 0.0  NNS --> rabbits
32 0.0  NNS --> sneakers
31 0.0  NNS --> balls
31 0.0  NNS --> chairs
31 0.0  NNS --> keys
31 0.0  NNS --> months
30 0.0  NNS --> noodles
29 0.0  NNS --> lights
29 0.0  NNS --> napkins
29 0.0  NNS --> pancakes
29 0.0  NNS --> rides
29 0.0  NNS --> vegetables
29 0.0  NNS --> wings
28 0.0  NNS --> bites
28 0.0  NNS --> grapes
28 0.0  NNS --> oranges
28 0.0  NNS --> sticks
28 0.0  NNS --> stripes
28 0.0  NNS --> tomatoes
27 0.0  NNS --> boats
26 0.0  NNS --> bananas
26 0.0  NNS --> doggies
26 0.0  NNS --> pigtails
26 0.0  NNS --> shapes
26 0.0  NNS --> spoons
25 0.0  NNS --> fingernails
25 0.0  NNS --> hats
25 0.0  NNS --> pipes
25 0.0  NNS --> problems
25 0.0  NNS --> stories
24 0.0  NNS --> beads
24 0.0  NNS --> cats
24 0.0  NNS --> diapers
24 0.0  NNS --> earrings
24 0.0  NNS --> eyebrows
24 0.0  NNS --> lions
24 0.0  NNS --> pencils
24 0.0  NNS --> vitamins
23 0.0  NNS --> boxes
23 0.0  NNS --> trains
22 0.0  NNS --> doors
22 0.0  NNS --> germs
22 0.0  NNS --> goats
22 0.0  NNS --> parts
22 0.0  NNS --> pins
22 0.0  NNS --> puppies
22 0.0  NNS --> turtles
21 0.0  NNS --> bones
21 0.0  NNS --> fishes
21 0.0  NNS --> others
21 0.0  NNS --> penguins
21 0.0  NNS --> thanks
20 0.0  NNS --> ladies
20 0.0  NNS --> leaves
20 0.0  NNS --> panties
20 0.0  NNS --> screws
20 0.0  NNS --> woods
19 0.0  NNS --> blankets
19 0.0  NNS --> jammies
19 0.0  NNS --> plates
19 0.0  NNS --> puzzles
18 0.0  NNS --> bells
18 0.0  NNS --> clowns
18 0.0  NNS --> horsies
18 0.0  NNS --> marbles
18 0.0  NNS --> spots
18 0.0  NNS --> strawberries
17 0.0  NNS --> barrels
17 0.0  NNS --> bunnies
17 0.0  NNS --> cigarettes
17 0.0  NNS --> cousins
17 0.0  NNS --> heads
17 0.0  NNS --> places
17 0.0  NNS --> popsicles
17 0.0  NNS --> seeds
17 0.0  NNS --> swings
17 0.0  NNS --> tapes
17 0.0  NNS --> teachers
16 0.0  NNS --> cakes
16 0.0  NNS --> cubes
16 0.0  NNS --> curtains
16 0.0  NNS --> movies
16 0.0  NNS --> muscles
16 0.0  NNS --> noises
16 0.0  NNS --> onions
16 0.0  NNS --> pans
16 0.0  NNS --> seats
16 0.0  NNS --> sides
15 0.0  NNS --> beds
15 0.0  NNS --> cheeks
15 0.0  NNS --> chops
15 0.0  NNS --> claws
15 0.0  NNS --> dresses
15 0.0  NNS --> faces
15 0.0  NNS --> homes
15 0.0  NNS --> horns
15 0.0  NNS --> hugs
15 0.0  NNS --> knees
15 0.0  NNS --> knives
15 0.0  NNS --> lips
15 0.0  NNS --> matches
15 0.0  NNS --> nails
15 0.0  NNS --> pages
15 0.0  NNS --> pillows
15 0.0  NNS --> seals
15 0.0  NNS --> snacks
15 0.0  NNS --> tonsils
14 0.0  NNS --> bags
14 0.0  NNS --> birdies
14 0.0  NNS --> bottles
14 0.0  NNS --> cartoons
14 0.0  NNS --> crumbs
14 0.0  NNS --> dolphins
14 0.0  NNS --> frogs
14 0.0  NNS --> hours
14 0.0  NNS --> kisses
14 0.0  NNS --> muffins
14 0.0  NNS --> peanuts
14 0.0  NNS --> rings
14 0.0  NNS --> shorts
14 0.0  NNS --> splinters
14 0.0  NNS --> whales
14 0.0  NNS --> whiskers
13 0.0  NNS --> bands
13 0.0  NNS --> brothers
13 0.0  NNS --> cherries
13 0.0  NNS --> circles
13 0.0  NNS --> gloves
13 0.0  NNS --> kittys
13 0.0  NNS --> mittens
13 0.0  NNS --> nuts
13 0.0  NNS --> pounds
13 0.0  NNS --> shells
13 0.0  NNS --> snakes
13 0.0  NNS --> stars
13 0.0  NNS --> steps
13 0.0  NNS --> tricks
12 0.0  NNS --> cans
12 0.0  NNS --> costumes
12 0.0  NNS --> dinosaurs
12 0.0  NNS --> heavens
12 0.0  NNS --> mice
12 0.0  NNS --> pots
12 0.0  NNS --> quarts
12 0.0  NNS --> questions
12 0.0  NNS --> sandwiches
12 0.0  NNS --> slacks
12 0.0  NNS --> squares
12 0.0  NNS --> stickerbirds
12 0.0  NNS --> stitches
12 0.0  NNS --> tracks
12 0.0  NNS --> underpants
12 0.0  NNS --> valentines
12 0.0  NNS --> walls
11 0.0  NNS --> bars
11 0.0  NNS --> baths
11 0.0  NNS --> curlers
11 0.0  NNS --> drawers
11 0.0  NNS --> exercises
11 0.0  NNS --> llamas
11 0.0  NNS --> mixers
11 0.0  NNS --> mothers
11 0.0  NNS --> rocks
11 0.0  NNS --> sisters
11 0.0  NNS --> slides
11 0.0  NNS --> sounds
11 0.0  NNS --> squirrels
11 0.0  NNS --> tigers
11 0.0  NNS --> waves
11 0.0  NNS --> wires
10 0.0  NNS --> airplanes
10 0.0  NNS --> buses
10 0.0  NNS --> bushes
10 0.0  NNS --> butterflies
10 0.0  NNS --> clouds
10 0.0  NNS --> directions
10 0.0  NNS --> dots
10 0.0  NNS --> downstairs
10 0.0  NNS --> fences
10 0.0  NNS --> forks
10 0.0  NNS --> grownups
10 0.0  NNS --> jets
10 0.0  NNS --> lessons
10 0.0  NNS --> monsters
10 0.0  NNS --> oysters
10 0.0  NNS --> papers
10 0.0  NNS --> pies
10 0.0  NNS --> pigs
10 0.0  NNS --> pills
10 0.0  NNS --> ribbons
10 0.0  NNS --> saucers
10 0.0  NNS --> shirts
10 0.0  NNS --> stickers
10 0.0  NNS --> stones
10 0.0  NNS --> sunglasses
10 0.0  NNS --> tags
10 0.0  NNS --> women
9 0.0  NNS --> alligators
9 0.0  NNS --> alphabets
9 0.0  NNS --> brownies
9 0.0  NNS --> chicks
9 0.0  NNS --> cuts
9 0.0  NNS --> decorations
9 0.0  NNS --> feathers
9 0.0  NNS --> firemen
9 0.0  NNS --> fireworks
9 0.0  NNS --> fruits
9 0.0  NNS --> hamburgers
9 0.0  NNS --> indians
9 0.0  NNS --> kittens
9 0.0  NNS --> mountains
9 0.0  NNS --> paints
9 0.0  NNS --> peaches
9 0.0  NNS --> pears
9 0.0  NNS --> quills
9 0.0  NNS --> raviolis
9 0.0  NNS --> sakes
9 0.0  NNS --> sheep
9 0.0  NNS --> sleeves
9 0.0  NNS --> snails
9 0.0  NNS --> tops
9 0.0  NNS --> turns
9 0.0  NNS --> umbrellas
9 0.0  NNS --> ways
8 0.0  NNS --> bees
8 0.0  NNS --> bucks
8 0.0  NNS --> chips
8 0.0  NNS --> cupcakes
8 0.0  NNS --> deer
8 0.0  NNS --> diamonds
8 0.0  NNS --> ducklings
8 0.0  NNS --> giraffes
8 0.0  NNS --> hairs
8 0.0  NNS --> hiccups
8 0.0  NNS --> lambs
8 0.0  NNS --> mommies
8 0.0  NNS --> overalls
8 0.0  NNS --> pretzels
8 0.0  NNS --> records
8 0.0  NNS --> stalls
8 0.0  NNS --> stores
8 0.0  NNS --> suspenders
8 0.0  NNS --> tables
8 0.0  NNS --> tools
8 0.0  NNS --> toothies
8 0.0  NNS --> towels
7 0.0  NNS --> bikes
7 0.0  NNS --> biscuits
7 0.0  NNS --> bits
7 0.0  NNS --> buns
7 0.0  NNS --> cheerios
7 0.0  NNS --> covers
7 0.0  NNS --> drops
7 0.0  NNS --> feelings
7 0.0  NNS --> fruitloops
7 0.0  NNS --> holders
7 0.0  NNS --> ideas
7 0.0  NNS --> lobsters
7 0.0  NNS --> mosquitoes
7 0.0  NNS --> motorcycles
7 0.0  NNS --> nights
7 0.0  NNS --> pegs
7 0.0  NNS --> pickles
7 0.0  NNS --> pigeons
7 0.0  NNS --> plants
7 0.0  NNS --> plums
7 0.0  NNS --> raisins
7 0.0  NNS --> reindeers
7 0.0  NNS --> sharks
7 0.0  NNS --> sweaters
7 0.0  NNS --> tires
7 0.0  NNS --> tummies
7 0.0  NNS --> weekends
7 0.0  NNS --> witches
7 0.0  NNS --> zucchini
6 0.0  NNS --> a_b_cs
6 0.0  NNS --> abc's
6 0.0  NNS --> ants
6 0.0  NNS --> ashes
6 0.0  NNS --> baskets
6 0.0  NNS --> blueberries
6 0.0  NNS --> braids
6 0.0  NNS --> calls
6 0.0  NNS --> cities
6 0.0  NNS --> croutons
6 0.0  NNS --> cucumbers
6 0.0  NNS --> daughters
6 0.0  NNS --> doctors
6 0.0  NNS --> dreams
6 0.0  NNS --> em
6 0.0  NNS --> fins
6 0.0  NNS --> flies
6 0.0  NNS --> guns
6 0.0  NNS --> hearts
6 0.0  NNS --> hopperoos
6 0.0  NNS --> icecubes
6 0.0  NNS --> kicks
6 0.0  NNS --> knots
6 0.0  NNS --> marshmallows
6 0.0  NNS --> naps
6 0.0  NNS --> necklaces
6 0.0  NNS --> packages
6 0.0  NNS --> parents
6 0.0  NNS --> paws
6 0.0  NNS --> pens
6 0.0  NNS --> piggies
6 0.0  NNS --> pineapples
6 0.0  NNS --> pockets
6 0.0  NNS --> porcupines
6 0.0  NNS --> rice_crispies
6 0.0  NNS --> scallops
6 0.0  NNS --> sizes
6 0.0  NNS --> skates
6 0.0  NNS --> snarls
6 0.0  NNS --> sorts
6 0.0  NNS --> states
6 0.0  NNS --> strings
6 0.0  NNS --> tails
6 0.0  NNS --> tales
6 0.0  NNS --> tinkertoys
6 0.0  NNS --> toesies
6 0.0  NNS --> tweezers
6 0.0  NNS --> walks
5 0.0  NNS --> answers
5 0.0  NNS --> bandaids
5 0.0  NNS --> barrettes
5 0.0  NNS --> bats
5 0.0  NNS --> bicycles
5 0.0  NNS --> brooms
5 0.0  NNS --> bumps
5 0.0  NNS --> cages
5 0.0  NNS --> canes
5 0.0  NNS --> cavities
5 0.0  NNS --> clips
5 0.0  NNS --> crabs
5 0.0  NNS --> daddies
5 0.0  NNS --> dances
5 0.0  NNS --> dimes
5 0.0  NNS --> favorites
5 0.0  NNS --> firecrackers
5 0.0  NNS --> fires
5 0.0  NNS --> flags
5 0.0  NNS --> foodies
5 0.0  NNS --> foods
5 0.0  NNS --> groceries
5 0.0  NNS --> heels
5 0.0  NNS --> irons
5 0.0  NNS --> jeans
5 0.0  NNS --> knuckles
5 0.0  NNS --> marks
5 0.0  NNS --> mistakes
5 0.0  NNS --> olives
5 0.0  NNS --> planes
5 0.0  NNS --> polkadots
5 0.0  NNS --> potatochips
5 0.0  NNS --> puddles
5 0.0  NNS --> radishes
5 0.0  NNS --> raspberries
5 0.0  NNS --> rats
5 0.0  NNS --> sandals
5 0.0  NNS --> sausages
5 0.0  NNS --> seahorses
5 0.0  NNS --> secrets
5 0.0  NNS --> sodas
5 0.0  NNS --> soldiers
5 0.0  NNS --> sports
5 0.0  NNS --> tears
5 0.0  NNS --> tights
5 0.0  NNS --> tons
5 0.0  NNS --> trays
5 0.0  NNS --> tusks
5 0.0  NNS --> two
5 0.0  NNS --> undies
5 0.0  NNS --> visitors
5 0.0  NNS --> wagons
5 0.0  NNS --> walnuts
5 0.0  NNS --> worms
4 0.0  NNS --> angels
4 0.0  NNS --> boards
4 0.0  NNS --> bowls
4 0.0  NNS --> bows
4 0.0  NNS --> bricks
4 0.0  NNS --> cereals
4 0.0  NNS --> chickies
4 0.0  NNS --> cords
4 0.0  NNS --> coupons
4 0.0  NNS --> cowboys
4 0.0  NNS --> drinks
4 0.0  NNS --> edges
4 0.0  NNS --> engines
4 0.0  NNS --> fives
4 0.0  NNS --> fries
4 0.0  NNS --> fudgesicles
4 0.0  NNS --> hiccoughs
4 0.0  NNS --> hippopotamuses
4 0.0  NNS --> jobs
4 0.0  NNS --> jumps
4 0.0  NNS --> leftovers
4 0.0  NNS --> legos
4 0.0  NNS --> leotards
4 0.0  NNS --> logs
4 0.0  NNS --> macaroni
4 0.0  NNS --> mouths
4 0.0  NNS --> noses
4 0.0  NNS --> nurses
4 0.0  NNS --> paper
4 0.0  NNS --> pearls
4 0.0  NNS --> piles
4 0.0  NNS --> players
4 0.0  NNS --> poems
4 0.0  NNS --> porkchops
4 0.0  NNS --> prickers
4 0.0  NNS --> prizes
4 0.0  NNS --> pumpkins
4 0.0  NNS --> pushups
4 0.0  NNS --> reds
4 0.0  NNS --> roads
4 0.0  NNS --> rollerskates
4 0.0  NNS --> rolls
4 0.0  NNS --> seasons
4 0.0  NNS --> seconds
4 0.0  NNS --> sheets
4 0.0  NNS --> shovels
4 0.0  NNS --> snowmen
4 0.0  NNS --> somersaults
4 0.0  NNS --> sparklers
4 0.0  NNS --> sparks
4 0.0  NNS --> stamps
4 0.0  NNS --> stilts
4 0.0  NNS --> suits
4 0.0  NNS --> telephones
4 0.0  NNS --> toenails
4 0.0  NNS --> twos
4 0.0  NNS --> waffles
4 0.0  NNS --> zebras
3 0.0  NNS --> abcs
3 0.0  NNS --> adenoids
3 0.0  NNS --> antlers
3 0.0  NNS --> any
3 0.0  NNS --> apricots
3 0.0  NNS --> becausesn
3 0.0  NNS --> belts
3 0.0  NNS --> berries
3 0.0  NNS --> bibs
3 0.0  NNS --> birthdays
3 0.0  NNS --> bobbypins
3 0.0  NNS --> bottoms
3 0.0  NNS --> buildings
3 0.0  NNS --> bullets
3 0.0  NNS --> burps
3 0.0  NNS --> carols
3 0.0  NNS --> carriages
3 0.0  NNS --> celery
3 0.0  NNS --> chains
3 0.0  NNS --> checks
3 0.0  NNS --> chimes
3 0.0  NNS --> cleaners
3 0.0  NNS --> cloths
3 0.0  NNS --> colds
3 0.0  NNS --> counters
3 0.0  NNS --> countries
3 0.0  NNS --> cranberries
3 0.0  NNS --> crowns
3 0.0  NNS --> designs
3 0.0  NNS --> dice
3 0.0  NNS --> dimples
3 0.0  NNS --> donkeys
3 0.0  NNS --> duckies
3 0.0  NNS --> elbows
3 0.0  NNS --> facts
3 0.0  NNS --> fathers
3 0.0  NNS --> fellas
3 0.0  NNS --> ghosts
3 0.0  NNS --> greens
3 0.0  NNS --> gums
3 0.0  NNS --> hammers
3 0.0  NNS --> headphones
3 0.0  NNS --> hills
3 0.0  NNS --> holysmokes
3 0.0  NNS --> hooks
3 0.0  NNS --> iceskates
3 0.0  NNS --> inches
3 0.0  NNS --> instructions
3 0.0  NNS --> instruments
3 0.0  NNS --> jokes
3 0.0  NNS --> kangaroos
3 0.0  NNS --> knittings
3 0.0  NNS --> leggings
3 0.0  NNS --> lemons
3 0.0  NNS --> leopards
3 0.0  NNS --> lilacs
3 0.0  NNS --> lollipops
3 0.0  NNS --> macaronis
3 0.0  NNS --> machines
3 0.0  NNS --> manners
3 0.0  NNS --> miles
3 0.0  NNS --> mosquitos
3 0.0  NNS --> muffs
3 0.0  NNS --> mumps
3 0.0  NNS --> needles
3 0.0  NNS --> nibbles
3 0.0  NNS --> oats
3 0.0  NNS --> orders
3 0.0  NNS --> pads
3 0.0  NNS --> pals
3 0.0  NNS --> parrots
3 0.0  NNS --> parties
3 0.0  NNS --> pebbles
3 0.0  NNS --> pedalpushers
3 0.0  NNS --> ponies
3 0.0  NNS --> promises
3 0.0  NNS --> quarters
3 0.0  NNS --> ravioli
3 0.0  NNS --> recorders
3 0.0  NNS --> rectangles
3 0.0  NNS --> relatives
3 0.0  NNS --> rollers
3 0.0  NNS --> roosters
3 0.0  NNS --> rules
3 0.0  NNS --> salads
3 0.0  NNS --> scratches
3 0.0  NNS --> services
3 0.0  NNS --> shades
3 0.0  NNS --> shoulders
3 0.0  NNS --> signs
3 0.0  NNS --> skins
3 0.0  NNS --> skunks
3 0.0  NNS --> sockies
3 0.0  NNS --> sprinklers
3 0.0  NNS --> stalks
3 0.0  NNS --> strips
3 0.0  NNS --> sunscreen
3 0.0  NNS --> surprises
3 0.0  NNS --> tabs
3 0.0  NNS --> tanks
3 0.0  NNS --> tapshoes
3 0.0  NNS --> taxis
3 0.0  NNS --> them
3 0.0  NNS --> tickles
3 0.0  NNS --> ties
3 0.0  NNS --> tissues
3 0.0  NNS --> toasties
3 0.0  NNS --> tongues
3 0.0  NNS --> triangles
3 0.0  NNS --> trombones
3 0.0  NNS --> troubles
3 0.0  NNS --> tulips
3 0.0  NNS --> tunafish
3 0.0  NNS --> vehicles
3 0.0  NNS --> walkietalkies
3 0.0  NNS --> watches
3 0.0  NNS --> waterfalls
3 0.0  NNS --> whistles
3 0.0  NNS --> whites
3 0.0  NNS --> yellows
3 0.0  NNS --> zeroes
2 0.0  NNS --> adults
2 0.0  NNS --> aunts
